id	title	year	authors	kind	model_population	geometry_loading	duration_history	measured	bounded_use	must_not_infer	pmid	doi	canonical_url	access
panjabi_1992_neutral_zone	The stabilizing system of the spine. Part II. Neutral zone and instability hypothesis	1992	M M Panjabi	conceptual synthesis with prior experimental/model evidence	cadaver, animal, computational evidence summarized	intervertebral motion around neutral	varied	neutral zone and instability-related parameters	Defines neutral zone as low-passive-resistance region and relates it to injury, degeneration hypotheses, muscle force and fixation	Do not equate neutral-zone size directly with pain, whole-body flexibility, or a diagnosis of instability	1490035	10.1097/00002517-199212000-00002	https://pubmed.ncbi.nlm.nih.gov/1490035/	metadata and abstract; do not mirror publisher text
adams_dolan_2005_spine_biomechanics	Spine biomechanics	2005	Michael A Adams; Patricia Dolan	review	human, cadaver and experimental literature summarized	multiple spinal loads and movements	varied	loading, injury mechanisms, tissue behavior	Broad mechanics map and terminology for relating loading to spinal structures	Do not treat review-level associations as identification of the pain-generating tissue in an individual	15936025	10.1016/j.jbiomech.2005.03.028	https://pubmed.ncbi.nlm.nih.gov/15936025/	metadata and abstract; do not mirror publisher text
adams_dolan_hutton_1987_diurnal	Diurnal variations in the stresses on the lumbar spine	1987	M A Adams; P Dolan; W C Hutton	paired human experiment plus cadaver experiment	21 human volunteers plus cadaveric lumbar motion segments	human early-morning versus afternoon flexion; cadaver creep loading	within-day; simulated day of creep loading	lumbar flexion range; bending resistance	Shows within-day change in flexion range in humans and reduced bending resistance after creep in cadaver segments under the tested protocols	Do not generalize the reported flexion effect to extension, every posture, or every individual's morning symptoms	3589804	10.1097/00007632-198703000-00008	https://pubmed.ncbi.nlm.nih.gov/3589804/	metadata and abstract; do not mirror publisher text
russell_1992_24h_mobility	Variation in lumbar spine mobility measured over a 24-hour period	1992	P Russell; A Weld; M J Pearcy; R Hogg; A Unsworth	human repeated-measures experiment	young adults	three-dimensional lumbar movement before/after sleep and every 2 h	24 h; at least 4 h supine for early-hour comparison	flexion, extension, lateral bend, axial rotation range	Supports direction-specific and time-of-day variation in measured lumbar mobility	Do not collapse all directions into one scalar morning tightness or infer tissue mechanism from ROM alone	1581775	10.1093/rheumatology/31.5.329	https://pubmed.ncbi.nlm.nih.gov/1581775/	metadata and abstract; do not mirror publisher text
ensink_1996_time_of_day	Lumbar range of motion: influence of time of day and individual factors on measurements	1996	F B Ensink; P M Saur; K Frese; D Seeger; J Hildebrandt	human repeated-measures experiment	29 patients with chronic low back pain	lumbar ROM measured morning, noon and afternoon	within-day	inclinometer and clinical ROM measures	Supports time-of-day dependence of total lumbar ROM in this symptomatic sample and reports extension as independent of time in this protocol	Do not generalize from 29 chronic-LBP patients to all people or turn ROM change into stiffness mechanism	8725926	10.1097/00007632-199606010-00012	https://pubmed.ncbi.nlm.nih.gov/8725926/	metadata and abstract; do not mirror publisher text
solomonow_2003_static_flexion	Flexion-relaxation response to static lumbar flexion in males and females	2003	Moshe Solomonow; Richard V Baratta; Anthony Banks; Curt Freudenberger; Bing He Zhou	human experiment	healthy male and female groups	static lumbar flexion followed by flexion-extension tests	10 min static lumbar flexion	flexion-relaxation angle and erector-spinae EMG	Shows altered flexion-relaxation behavior after 10 min static lumbar flexion in the tested subjects	Do not translate this full/static flexion exposure into claims about mild supported extension, strength loss, ligament damage, or chronic adaptation	12689776	10.1016/S0268-0033(03)00024-X	https://pubmed.ncbi.nlm.nih.gov/12689776/	metadata and abstract; do not mirror publisher text
solomonow_2001_hysteresis	Neuromuscular neutral zones associated with viscoelastic hysteresis during cyclic lumbar flexion	2001	M Solomonow; E Eversull; B He Zhou; R V Baratta; M P Zhu	animal experiment	in vivo feline	passive lumbar flexion-extension cycles; varying cycle frequency	single/cyclic exposure	multifidus reflex EMG thresholds, displacement/tension thresholds, hysteresis	Mechanistic evidence that viscoelastic hysteresis and loading rate can alter reflexive neuromuscular behavior in this feline preparation	Do not generalize numerical thresholds or reflex behavior directly to conscious human movement	11462097	10.1097/00007632-200107150-00013	https://pubmed.ncbi.nlm.nih.gov/11462097/	metadata and abstract; do not mirror publisher text
mcgill_grenier_kavcic_cholewicki_2003	Coordination of muscle activity to assure stability of the lumbar spine	2003	Stuart M McGill; Sylvain Grenier; Natasa Kavcic; Jacek Cholewicki	synthesis/discussion	human evidence and biomechanical modeling summarized	multiple tasks requiring trunk stabilization	task-dependent	muscle activation patterns and modeled stability	Useful source for the concept that active stability depends on coordinated, task-dependent muscle recruitment	Do not infer that more co-contraction is always better or that passive mobility is the opposite of active stability	12832165	10.1016/S1050-6411(03)00043-9	https://pubmed.ncbi.nlm.nih.gov/12832165/	metadata and abstract; do not mirror publisher text
stokes_fox_henry_2005_perturbation	Trunk muscular activation patterns and responses to transient force perturbation in persons with self-reported low back pain	2005	Ian A F Stokes; James R Fox; Sharon M Henry	human experimental comparison	21 self-reported LBP; 23 without recent LBP	standing with pelvis immobilized; ramped efforts and transient horizontal force perturbations	acute task trials	EMG, effort, preactivation and perturbation responses	Shows group differences in preactivation and task muscle recruitment under a defined perturbation protocol	Do not infer whether altered activation is cause or consequence of pain, or universalize the pattern to all LBP	15906102	10.1007/s00586-005-0893-7	https://pmc.ncbi.nlm.nih.gov/articles/PMC3489343/	PMC full text available; preserve copyright notice and provenance
hodges_tucker_2011_moving_differently	Moving differently in pain: a new theory to explain the adaptation to pain	2011	Paul W Hodges; Kylie Tucker	theory/review	multiple experimental pain and motor-control literatures	multiple movements and pain conditions	acute and adaptive responses discussed	motor behavior under pain	Provides a framework in which pain-related motor adaptation can redistribute activity and load in multiple ways rather than one universal guarding response	Do not use the theory to diagnose a specific motor adaptation without measurement	21087823	10.1016/j.pain.2010.10.020	https://pubmed.ncbi.nlm.nih.gov/21087823/	metadata and abstract; do not mirror publisher text
